ingredient,local_alias,product_name,brand_name,expiry_date,Estimated Total Qty,minQty,unit,price
Beans Hyacinth,,Beans Hyacinth,Generic,3/22/2023,200,100,Kg
Double Beans,,Double Beans,Generic,3/22/2023,200,100,Kg
Elbow,,Elbow,Generic,3/22/2023,200,100,Kg
Field Bean,,Field Bean,Generic,3/22/2023,200,100,Kg
Moth Beans,,Moth Beans,Generic,3/22/2023,200,100,Kg
Pea Pigeon,,Pea Pigeon,Generic,3/22/2023,200,100,Kg
Peas Pigeon,,Peas Pigeon,Generic,3/22/2023,200,100,Kg
Penne Pasta,,Penne Pasta,Generic,3/22/2023,200,100,Kg
Spaghetti,,Spaghetti,Generic,3/22/2023,200,100,Kg
Sword Beans,,Sword Beans,Generic,3/22/2023,200,100,Kg
Brownie,,Brownie,Generic,3/22/2023,200,100,Kg
Egg Noodle,,Egg Noodle,Generic,3/22/2023,200,100,Kg
French Fries,,French Fries,Generic,3/22/2023,200,100,Kg
Okra,,Okra,Generic,3/22/2023,200,100,Kg
Rice Basmati,,Rice Basmati,Generic,3/22/2023,200,100,Kg
Rice Instant,,Rice Instant,Generic,3/22/2023,200,100,Kg
Chocolate Syrup,,Chocolate Syrup,Generic,3/22/2023,200,100,Kg
Yellow Cornmeal,,Yellow Cornmeal,Generic,3/22/2023,200,100,Kg
Cheese Cottage,,Cheese Cottage,Generic,3/22/2023,200,100,Kg
Coriander Leaf,,Coriander Leaf,Generic,3/22/2023,200,100,Kg
Curd Lowfat,,Curd Lowfat,Generic,3/22/2023,200,100,Kg
Curry Leaf,,Curry Leaf,Generic,3/22/2023,200,100,Kg
Greek Yogurt Lowfat,,Greek Yogurt Lowfat,Generic,3/22/2023,200,100,Kg
Green Pea,,Green Pea,Generic,3/22/2023,200,100,Kg
Pea,,Pea,Generic,3/22/2023,200,100,Kg
Yogurt,,Yogurt,Generic,3/22/2023,200,100,Kg
Barbecue Sauce,,Barbecue Sauce,Generic,3/22/2023,200,100,Kg
Flour Cake,,Flour Cake,Generic,3/22/2023,200,100,Kg
Oat,,Oat,Generic,3/22/2023,200,100,Kg
Salad,,Salad,Generic,3/22/2023,200,100,Kg
Spinach Malabar,,Spinach Malabar,Generic,3/22/2023,200,100,Kg
Tomato Paste,,Tomato Paste,Generic,3/22/2023,200,100,Kg
Bean Sprouts,,Bean Sprouts,Generic,3/22/2023,200,100,Kg
Biscuit,,Biscuit,Generic,3/22/2023,200,100,Kg
Biscuit Dough,,Biscuit Dough,Generic,3/22/2023,200,100,Kg
Cake,,Cake,Generic,3/22/2023,200,100,Kg
Chili,,Chili,Generic,3/22/2023,200,100,Kg
Cream Of Chicken Soup,,Cream Of Chicken Soup,Generic,3/22/2023,200,100,Kg
Cream Of Mushroom,,Cream Of Mushroom,Generic,3/22/2023,200,100,Kg
Peanut,,Peanut,Generic,3/22/2023,200,100,Kg
Rice Flour,,Rice Flour,Generic,3/22/2023,200,100,Kg
Sour Cream,,Sour Cream,Generic,3/22/2023,200,100,Kg
Water Chestnuts,,Water Chestnuts,Generic,3/22/2023,200,100,Kg
White Peas,,White Peas,Generic,3/22/2023,200,100,Kg
Yogurt Greek,,Yogurt Greek,Generic,3/22/2023,200,100,Kg
Black Currant,,Black Currant,Generic,3/22/2023,200,100,Kg
Bread Crumb,,Bread Crumb,Generic,3/22/2023,200,100,Kg
Hoisin Sauce,,Hoisin Sauce,Generic,3/22/2023,200,100,Kg
Minced Garlic,,Minced Garlic,Generic,3/22/2023,200,100,Kg
Sushi rice,,Sushi rice,Generic,3/22/2023,200,100,Kg
Wheat Starch,,Wheat Starch,Generic,3/22/2023,200,100,Kg
Bread Brown,,Bread Brown,Generic,3/22/2023,200,100,Kg
Coconut,,Coconut,Generic,3/22/2023,200,100,Kg
Condensed Milk,,Condensed Milk,Generic,3/22/2023,200,100,Kg
Flour Semolina,,Flour Semolina,Generic,3/22/2023,200,100,Kg
Ketchup,,Ketchup,Generic,3/22/2023,200,100,Kg
Mustard,,Mustard,Generic,3/22/2023,200,100,Kg
Semolina,,Semolina,Generic,3/22/2023,200,100,Kg
Sugar Brown,,Sugar Brown,Generic,3/22/2023,200,100,Kg
Sweetened Condensed Milk,,Sweetened Condensed Milk,Generic,3/22/2023,200,100,Kg
Tomato Ketchup,,Tomato Ketchup,Generic,3/22/2023,200,100,Kg
White Bread,,White Bread,Generic,3/22/2023,200,100,Kg
Yellow Mustard,,Yellow Mustard,Generic,3/22/2023,200,100,Kg
Bread,,Bread,Generic,3/22/2023,200,100,Kg
Chickpea Flour,,Chickpea Flour,Generic,3/22/2023,200,100,Kg
Cream Of Celery Soup,,Cream Of Celery Soup,Generic,3/22/2023,200,100,Kg
Gram Flour,,Gram Flour,Generic,3/22/2023,200,100,Kg
Peanut Butter,,Peanut Butter,Generic,3/22/2023,200,100,Kg
Rice Sushi,,Rice Sushi,Generic,3/22/2023,200,100,Kg
Whole Grain Bread,,Whole Grain Bread,Generic,3/22/2023,200,100,Kg
Flour Spelt,,Flour Spelt,Generic,3/22/2023,200,100,Kg
Mango,,Mango,Generic,3/22/2023,200,100,Kg
Mango Ripe,,Mango Ripe,Generic,3/22/2023,200,100,Kg
Raisin,,Raisin,Generic,3/22/2023,200,100,Kg
Red Lentil,,Red Lentil,Generic,3/22/2023,200,100,Kg
Tea Biscuit,,Tea Biscuit,Generic,3/22/2023,200,100,Kg
Bell Pepper,,Bell Pepper,Generic,3/22/2023,200,100,Kg
Butter,,Butter,Generic,3/22/2023,200,100,Kg
Butter Salted,,Butter Salted,Generic,3/22/2023,200,100,Kg
Butter Unsalted,,Butter Unsalted,Generic,3/22/2023,200,100,Kg
Flour Rye,,Flour Rye,Generic,3/22/2023,200,100,Kg
Hamburger Buns,,Hamburger Buns,Generic,3/22/2023,200,100,Kg
Instant Noodle,,Instant Noodle,Generic,3/22/2023,200,100,Kg
Lettuce,,Lettuce,Generic,3/22/2023,200,100,Kg
Red Bell Pepper,,Red Bell Pepper,Generic,3/22/2023,200,100,Kg
Roti,,Roti,Generic,3/22/2023,200,100,Kg
Saltine Crackers,,Saltine Crackers,Generic,3/22/2023,200,100,Kg
Wheat Broken,,Wheat Broken,Generic,3/22/2023,200,100,Kg
Yellow Bell Pepper,,Yellow Bell Pepper,Generic,3/22/2023,200,100,Kg
Chicken Pieces With Bone,,Chicken Pieces With Bone,Generic,3/22/2023,200,100,Kg
Flour Pastry,,Flour Pastry,Generic,3/22/2023,200,100,Kg
Lasagna,,Lasagna,Generic,3/22/2023,200,100,Kg
Sriracha Sauce,,Sriracha Sauce,Generic,3/22/2023,200,100,Kg
Graham Crackers,,Graham Crackers,Generic,3/22/2023,200,100,Kg
Melon,,Melon,Generic,3/22/2023,200,100,Kg
Cheese,,Cheese,Generic,3/22/2023,200,100,Kg
Olive,,Olive,Generic,3/22/2023,200,100,Kg
Pineapple,,Pineapple,Generic,3/22/2023,200,100,Kg
Salt Pink,,Salt Pink,Generic,3/22/2023,200,100,Kg
Beef Liver,,Beef Liver,Generic,3/22/2023,200,100,Kg
Goat Liver,,Goat Liver,Generic,3/22/2023,200,100,Kg
Lamb Liver,,Lamb Liver,Generic,3/22/2023,200,100,Kg
Flour Bleached,,Flour Bleached,Generic,3/22/2023,200,100,Kg
Oil Flaxseed,,Oil Flaxseed,Generic,3/22/2023,200,100,Kg
Bread Pita,,Bread Pita,Generic,3/22/2023,200,100,Kg
Onion Ring,,Onion Ring,Generic,3/22/2023,200,100,Kg
Oreo,,Oreo,Generic,3/22/2023,200,100,Kg
Stick Cinnamon,,Stick Cinnamon,Generic,3/22/2023,200,100,Kg
Caramel,,Caramel,Generic,3/22/2023,200,100,Kg
Flour Buckwheat,,Flour Buckwheat,Generic,3/22/2023,200,100,Kg
Mustard Sauce,,Mustard Sauce,Generic,3/22/2023,200,100,Kg
Sugar White,,Sugar White,Generic,3/22/2023,200,100,Kg
Coconut Desicated,,Coconut Desicated,Generic,3/22/2023,200,100,Kg
Coconut Flake,,Coconut Flake,Generic,3/22/2023,200,100,Kg
Cranberries,,Cranberries,Generic,3/22/2023,200,100,Kg
Dried Plum,,Dried Plum,Generic,3/22/2023,200,100,Kg
Avocados,,Avocados,Generic,3/22/2023,200,100,Kg
Beef Bone Marrow,,Beef Bone Marrow,Generic,3/22/2023,200,100,Kg
Bone marrow,,Bone marrow,Generic,3/22/2023,200,100,Kg
Cheese Cheddar,,Cheese Cheddar,Generic,3/22/2023,200,100,Kg
Cheese Shredded Cheddar,,Cheese Shredded Cheddar,Generic,3/22/2023,200,100,Kg
Cheese Swiss,,Cheese Swiss,Generic,3/22/2023,200,100,Kg
Chili Green,,Chili Green,Generic,3/22/2023,200,100,Kg
Flour White Whole Wheat,,Flour White Whole Wheat,Generic,3/22/2023,200,100,Kg
Green Chili,,Green Chili,Generic,3/22/2023,200,100,Kg
Mushroom,,Mushroom,Generic,3/22/2023,200,100,Kg
Sweet And Low,,Sweet And Low,Generic,3/22/2023,200,100,Kg
Wheat Grounded,,Wheat Grounded,Generic,3/22/2023,200,100,Kg
Chocolate Chip,,Chocolate Chip,Generic,3/22/2023,200,100,Kg
Corn Flake,,Corn Flake,Generic,3/22/2023,200,100,Kg
Rice Noodles,,Rice Noodles,Generic,3/22/2023,200,100,Kg
Quinoa,,Quinoa,Generic,3/22/2023,200,100,Kg
Rice Wild,,Rice Wild,Generic,3/22/2023,200,100,Kg
Seasoning,,Seasoning,Generic,3/22/2023,200,100,Kg
Tapioca Pearl,,Tapioca Pearl,Generic,3/22/2023,200,100,Kg
Tikka Masala,,Tikka Masala,Generic,3/22/2023,200,100,Kg
Biscuit Digestive,,Biscuit Digestive,Generic,3/22/2023,200,100,Kg
Digestive biscuit,,Digestive biscuit,Generic,3/22/2023,200,100,Kg
Golden Raisin,,Golden Raisin,Generic,3/22/2023,200,100,Kg
Strawberry Jello,,Strawberry Jello,Generic,3/22/2023,200,100,Kg
BlueBerry,,BlueBerry,Generic,3/22/2023,200,100,Kg
Black Lentils,,Black Lentils,Generic,3/22/2023,200,100,Kg
Chaat Masala,,Chaat Masala,Generic,3/22/2023,200,100,Kg
Crackers,,Crackers,Generic,3/22/2023,200,100,Kg
Gram Dal,,Gram Dal,Generic,3/22/2023,200,100,Kg
Green Olive,,Green Olive,Generic,3/22/2023,200,100,Kg
Vermicelli,,Vermicelli,Generic,3/22/2023,200,100,Kg
Cashew,,Cashew,Generic,3/22/2023,200,100,Kg
Horseradish,,Horseradish,Generic,3/22/2023,200,100,Kg
Black Olives,,Black Olives,Generic,3/22/2023,200,100,Kg
Green Chutney,,Green Chutney,Generic,3/22/2023,200,100,Kg
Honey,,Honey,Generic,3/22/2023,200,100,Kg
Roll,,Roll,Generic,3/22/2023,200,100,Kg
Sorghum,,Sorghum,Generic,3/22/2023,200,100,Kg
Spinach,,Spinach,Generic,3/22/2023,200,100,Kg
Sugar Icing,,Sugar Icing,Generic,3/22/2023,200,100,Kg
baking powder,,baking powder,Generic,3/22/2023,200,100,Kg
Cherry Tomato,,Cherry Tomato,Generic,3/22/2023,200,100,Kg
Chip,,Chip,Generic,3/22/2023,200,100,Kg
Potato Stick,,Potato Stick,Generic,3/22/2023,200,100,Kg
